open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,sma_7d,sma_30d,sma_50d,sma_100d,return,volatility_20,volatility_50,volatility_100,volatility_14d,rsi_14,rsi_14d,MACD,Signal,MACD_Hist,volume_rel20,volume_rel20d,will_up
2025-09-06 18:00:00,200.15,200.81,199.32,200.04,95519.854,19107660.40431,47363,39946.261,7991961.05222,0.0,0.0,0.0,0.0,-0.0005495878091431594,0.0029058199082468354,0.007251862013738635,0.0,0.0,26.984126984127215,0.0,1.129651101471751,0.6060885296976273,0.5235625717741237,1.4437254844114116,0.0,False
2025-09-06 19:00:00,200.04,200.28,199.37,199.71,58847.439,11762664.5223,37005,24743.754,4946029.71059,0.0,0.0,0.0,0.0,-0.001649670065986708,0.0028399729337910693,0.007243991626379854,0.006482843942128131,0.0,29.729729729730025,0.0,1.1140078694846807,0.6107698139352961,0.5032380555493846,0.8765269243131513,0.0,True
2025-09-06 20:00:00,199.71,200.8,199.7,200.8,43828.888,8778005.93204,28919,24727.484,4953106.73864,0.0,0.0,0.0,0.0,0.005457913975264184,0.003091803044985204,0.007267877993065268,0.006479462509501688,0.0,38.61111111111128,0.0,1.1025531896009682,0.6153023796096341,0.4872508099913341,0.657738027829635,0.0,False
2025-09-06 21:00:00,200.8,201.2,200.35,200.76,27307.774,5482216.57589,19351,15251.867,3062164.38127,0.0,0.0,0.0,0.0,-0.00019920318725108466,0.0029907774773784957,0.007238462390379617,0.006260340460188618,0.0,32.932330827067744,0.0,1.0910409491544613,0.619687066886545,0.4713538822679163,0.41540424006364374,0.0,False
2025-09-06 22:00:00,200.76,201.07,200.01,200.4,31536.827,6324267.49245,28004,13857.166,2779058.08786,0.0,0.0,0.0,0.0,-0.001793185893604221,0.002995647009982598,0.007232164561135254,0.006247015374382322,0.0,26.412213740458142,0.0,1.078281451477693,0.6239137432422238,0.45436770823546924,0.49847181441914407,0.0,False
2025-09-06 23:00:00,200.4,201.0,199.92,200.16,36086.347,7231063.11996,21110,22318.01,4473065.39457,0.0,0.0,0.0,0.0,-0.0011976047904191933,0.0029957372692327173,0.007180028795843707,0.006247683789726238,0.0,28.881469115192104,0.0,1.0647340241010284,0.6279766029736414,0.4367574211273869,0.5720013095131238,0.0,True
2025-09-07 00:00:00,200.16,201.36,200.12,201.15,45870.267,9208142.23784,25306,28722.971,5765343.48216,0.0,0.0,0.0,0.0,0.004946043165467762,0.0031736928205038087,0.00721275609771707,0.006240017106509167,0.0,36.98224852071022,0.0,1.0549830344901352,0.6319121461212589,0.4230708883688763,0.7239872013065899,0.0,True
2025-09-07 01:00:00,201.15,203.19,201.1,202.7,88634.638,17921900.04348,46952,56674.678,11456016.26922,0.0,0.0,0.0,0.0,0.007705692269450504,0.0035011267797740316,0.007183079737525425,0.006284499273832997,0.0,52.05655526992282,0.0,1.0510737936565704,0.6357753871123678,0.4152984065442026,1.4436750367891673,0.0,True
2025-09-07 02:00:00,202.7,202.96,202.02,202.81,53758.394,10879594.94886,32717,25387.708,5138401.03253,0.0,0.0,0.0,0.0,0.0005426739023186578,0.0034979381948121104,0.007136870163446554,0.0062456127431848975,0.0,53.470437017994776,0.0,1.0475899986921036,0.6395709134863745,0.40801908520572905,0.8803505392661454,0.0,True
2025-09-07 03:00:00,202.81,203.27,202.57,202.86,40906.384,8296773.55693,24196,20444.965,4145647.39439,0.0,0.0,0.0,0.0,0.00024653616685577084,0.0034351507730047757,0.006953346683071179,0.006225335012712632,0.0,53.41055341055339,0.0,1.044304205565851,0.6433011742428675,0.4010030313229834,0.6702741697687713,0.0,True
